"a","s","l"
"Pathology","Pathology","Pathology"
"PatholAnnu","Pathol. Annu.","Pathology Annual"
"PatholInt","Pathol. Int.","Pathology International"
"PatholResPract","Pathol. Res. Pract.","Pathology, Research and Practice"
"Pathophysiology","Pathophysiology","Pathophysiology"
"PatolPol","Patol. Pol.","Patologia Polska"
"PatolFiziolEkspTer","Patol. Fiziol. Eksp. Ter.","Patologicheskaia Fiziologiia I Eksperimentalnaia Terapiia"
"PCRMethAppl","PCR Meth. Appl.","PCR Methods and Applications"
"PediatrMedChir","Pediatr. Med. Chir.","Pediatria Medica E Chirurgica"
"PediatrAllergyImmunol","Pediatr. Allergy Immunol.","Pediatric Allergy and Immunology"
"PediatrAnn","Pediatr. Ann.","Pediatric Annals"
"PediatrCardiol","Pediatr. Cardiol.","Pediatric Cardiology"
"PediatrClinNorthAm","Pediatr. Clin. North Am.","Pediatric Clinics of North America"
"PediatrDermatol","Pediatr. Dermatol.","Pediatric Dermatology"
"PediatrEmergCare","Pediatr. Emerg. Care","Pediatric Emergency Care"
"PediatrHematolOncol","Pediatr. Hematol. Oncol.","Pediatric Hematology and Oncology"
"PediatrInfectDisJ","Pediatr. Infect. Dis. J.","Pediatric Infectious Disease Journal"
"PediatrNephrol","Pediatr. Nephrol.","Pediatric Nephrology"
"PediatrNeurol","Pediatr. Neurol.","Pediatric Neurology"
"PediatrNeurosurg","Pediatr. Neurosurg.","Pediatric Neurosurgery"
"PediatrPathol","Pediatr. Pathol.","Pediatric Pathology"
"PediatrPatholLabMed","Pediatr. Pathol. Lab. Med.","Pediatric Pathology & Laboratory Medicine"
"PediatrPatholMolMed","Pediatr. Pathol. Mol. Med.","Pediatric Pathology & Molecular Medicine"
"PediatrPulmonol","Pediatr. Pulmonol.","Pediatric Pulmonology"
"PediatrPulmonolSuppl","Pediatr. Pulmonol. Suppl.","Pediatric Pulmonology. Supplement"
"PediatrRadiol","Pediatr. Radiol.","Pediatric Radiology"
"PediatrRes","Pediatr. Res.","Pediatric Research"
"PediatrTranplant","Pediatr. Tranplant.","Pediatric Transplantation"
"Pediatrician","Pediatrician","Pediatrician"
"Pediatrics","Pediatrics","Pediatrics"
"PediatrRev","Pediatr. Rev.","Pediatrics in Review"
"Pediatrie","Pediatrie","Pediatrie"
"Pediatriia","Pediatriia","Pediatriia"
"PaMed","Pa Med.","Pennsylvania Medicine"
"Peptides","Peptides","Peptides"
"Perception","Perception","Perception"
"PerceptMotSkills","Percept. Mot. Skills","Perceptual and Motor Skills"
"PDI","PDI","Peritoneal Dialysis International"
"PeritDialInt","Perit. Dial. Int.","Peritoneal Dialysis International"
"Persoonia","Persoonia","Persoonia"
"PerspectBiolMed","Perspect Biol. Med.","Perspectives in Biology and Medicine"
"PerspectPediatrPathol","Perspect Pediatr. Pathol.","Perspectives in Pediatric Pathology"
"PerspectPltEcolEvolutSyst","Perspect. Plt. Ecol. Evolut. Syst.","Perspectives in Plant Ecology, Evolution and Systematics"
"PestManagSci","Pest Manag. Sci.","Pest Management Science"
"PestBiochemPhysiol","Pest Biochem. Physiol.","Pesticide Biochemistry and Physiology"
"PestSci","Pest Sci.","Pesticide Science"
"PflugersArch","Pflugers Arch.","Pflugers Archiv. European Journal of Physiology"
"PharmActaHelv","Pharm. Acta Helv.","Pharmaceutica ACTA Helvetiae"
"PharmRes","Pharm. Res.","Pharmaceutical Research"
"PharmSciTechToday","Pharm. Sci. Tech. Today","Pharmaceutical Science and Technology Today"
"PharmWeekblSci","Pharm. Weekbl [Sci]","Pharmaceutisch Weekblad. Scientific Edition"
"PharmacoepidemiolDrugSafety","Pharmacoepidemiol. Drug Safety","Pharmacoepidemiology and Drug Safety"
"PharmacolRes","Pharmacol. Res.","Pharmacological Research"
"PharmacolRev","Pharmacol. Rev.","Pharmacological Reviews"
"Pharmacology","Pharmacology","Pharmacology"
"PharmacolTher","Pharmacol. Ther.","Pharmacology and Therapeutics"
"PharmacolToxicol","Pharmacol. Toxicol.","Pharmacology and Toxicology"
"PharmacolBiochemBehav","Pharmacol. Biochem. Behav.","Pharmacology, Biochemistry and Behavior"
"Pharmacopsychiatry","Pharmacopsychiatry","Pharmacopsychiatry"
"Pharmacotherapy","Pharmacotherapy","Pharmacotherapy"
"Pharmatherapeutica","Pharmatherapeutica","Pharmatherapeutica"
"Pharmazie","Pharmazie","Pharmazie"
"PharmUnsererZeit","Pharm. Unserer Zeit","Pharmazie in Unserer Zeit"
"Pharos","Pharos","Pharos of Alpha Omega Alpha Honor Medical Society"
"ptrslbbs","Phil. Trans. R. Soc. Lond. B Biol. Sci.","Philosophical Transactions of the Royal Society of London B Biological Sciences"
"PhilosTransRSocLondonPhys","Philos. Trans. R. Soc. London [Phys. Math. Eng.]","Philosophical Transactions of the Royal Society of London. Series A: Physical, Mathematical and Engineering"
"PhilosTransRSocLondonBiol","Philos. Trans. R. Soc. London [Biol.]","Philosophical Transactions of the Royal Society of London. Series B: Biological"
"Phlebologie","Phlebologie","Phlebologie"
"Phonetica","Phonetica","Phonetica"
"PhotochemPhotobiol","Photochem. Photobiol.","Photochemistry and Photobiology"
"PhotodermatolPhotoimmunolPhotomed","Photodermatol. Photoimmunol. Photomed.","Photodermatology, Photoimmunology and Photomedicine"
"PhotogrammEngRemoteSens","Photogramm. Eng. Remote Sens.","Photogrammetric Engineering and Remote Sensing"
"PhotosynthRes","Photosyn. Res.","Photosynthesis Research"
"Photosynth","Photosynth.","Photosynthetica"
"Phycologia","Phycologia","Phycologia"
"PhycolRes","Phycol. Res.","Phycological Research"
"PhysicaA","Physica A","Physica A"
"PhysicaD","Physica D","Physica D"
"PhysRevE","Phys. Rev. E","Physical Review E"
"PhysRevLett","Phy. Rev. Lett.","Physical Review Letters"
"PhysTher","Phys. Ther.","Physical Therapy"
"PhysMedBiol","Phys. Med. Biol.","Physics in Medicine and Biology"
"PhysiolPlant","Physiol. Plant.","Physiologia Plantarum"
"PhysiolMolPlantPath","Physiol. Mol. Plant Path.","Physiological and Molecular Plant Pathology"
"PhysiolChemPhysMedNMR","Physiol. Chem. Phys. Med. NMR","Physiological Chemistry and Physics and Medical NMR"
"PhysiolEntomol","Physiol. Entomol.","Physiological Entomology"
"PhysiolGenomics","Physiol. Genomics","Physiological Genomics"
"PhysiolMeas","Physiol. Meas.","Physiological measurement"
"PhysiolRes","Physiol. Res.","Physiological Research"
"PhysiolRev","Physiol. Rev.","Physiological Reviews"
"Physiologist","Physiologist","Physiologist"
"Physiology","Physiology","Physiology"
"PhysiolBehav","Physiol. Behav.","Physiology and Behavior"
"Phytochemistry","Phytochemistry","Phytochemistry"
"Phytologia","Phytologia","Phytologia"
"Phytopathology","Phytopathology","Phytopathology"
"PigmentCellRes","Pigment Cell Res.","Pigment Cell Research"
"Placenta","Placenta","Placenta"
"PlacentaSuppl","Placenta Suppl.","Placenta. Supplement"
"PlantCellPhysiol","Plant Cell Physiol.","Plant and Cell Physiology"
"PlantSoil","Plant Soil","Plant and Soil"
"PlantSoilSci","Plant Soil Sci.","Plant and Soil Science"
"PlantBiotechJ","Plant Biotech. J.","Plant Biotechnology Journal"
"PlantBreeding","Plant Breeding","Plant Breeding"
"PlantDis","Plant Dis.","Plant Disease"
"PlDisRes","Pl. Dis. Res.","Plant Disease Research"
"PlantEcol","Plant Ecol.","Plant Ecology"
"PlantFoodsHumNutr","Plant Foods Hum. Nutr.","Plant Foods for Human Nutrition"
"PlantGrowRegul","Plant Growth Regul.","Plant Growth Regulation"
"PlantJPlantMolBiol","Plant. JPlant Mol. Biol.","Plant Molecular Biology"
"PlantPathol","Plant Pathol.","Plant Pathology"
"PlantPatholJ","Plant Pathol. J.","Plant Pathology Journal"
"PlantPhysiol","Plant Physiol.","Plant Physiology"
"PlantPhysiolBiochem","Plant Physiol. Biochem.","Plant Physiology and Biochemistry"
"PlantProtectQ","Plant Protect. Q.","Plant Protection Quarterly"
"PlantRoot","Plant Root","Plant Root"
"PlantSci","Plant Sci.","Plant Science"
"PlantSpeciesBiol","Plant Species Biol.","Plant Species Biology"
"PlantCellEnviron","Plant Cell Environ.","Plant, Cell and Environment"
"Planta","Planta","Planta"
"PlantaMed","Planta Med.","Planta Medica"
"Plasmid","Plasmid","Plasmid"
"PlastReconstrSurg","Plast. Reconstr. Surg.","Plastic and Reconstructive Surgery"
"PLoSBiol","PLoS Biol.","PLoS Biology"
"PLoSOne","PLoS One","PLoS One"
"PlucneBolesti","Plucne Bolesti","Plucne Bolesti"
"Pneumologie","Pneumologie","Pneumologie"
"PneumonolPol","Pneumonol. Pol.","Pneumonologia Polska"
"PolicyStatementRCollGenPract","Policy Statement R. Coll. Gen. Pract.","Policy Statement / Royal College of General Practitioners"
"PolimMed","Polim. Med.","Polimery W Medycynie"
"PolJEcol","Pol. J. Ecol.","Polish Journal of Ecology"
"PolishJEcol","Polish J. Ecol.","Polish Journal of Ecology"
"PolJGynecolInvest","Pol. J. Gynecol. Invest.","Polish Journal of Gynaecologic Investigation"
"PolJOccupMed","Pol. J. Occup. Med.","Polish Journal of Occupational Medicine"
"PolJPharmacolPharm","Pol. J. Pharmacol. Pharm.","Polish Journal of Pharmacology and Pharmacy"
"PolTygLek","Pol. Tyg. Lek.","Polski Tygodnik Lekarski"
"PolArchMedWewn","Pol. Arch. Med. Wewn.","Polskie Archiwum Medycyny Wewnetrznej"
"PolArchWeter","Pol. Arch. Weter.","Polskie Archiwum Weterynaryjne"
"PopulRepA","Popul. Rep. [A]","Population Reports. Series A; Oral Contraceptives"
"PopulRepB","Popul. Rep. [B]","Population Reports. Series B; Intrauterine Devices"
"PopulRepC","Popul. Rep. [C]","Population Reports. Series C; Sterilization [Female]"
"PopulRepD","Popul. Rep. [D]","Population Reports. Series D; Sterilization [Male]"
"PopulRepE","Popul. Rep. [E]","Population Reports. Series E; Law and Policy"
"PopulRepG","Popul. Rep. [G]","Population Reports. Series G; Prostaglandins"
"PopulRepH","Popul. Rep. [H]","Population Reports. Series H; Barrier Methods"
"PopulRepJ","Popul. Rep. [J]","Population Reports. Series J; Family Planning Programs"
"PopulRepK","Popul. Rep. [K]","Population Reports. Series K; Injectables and Implants"
"PopulRepL","Popul. Rep. [L]","Population Reports. Series L; Issues in World Health"
"PopulRepM","Popul. Rep. [M]","Population Reports. Series M; Special Topics"
"PostepyBiochem","Postepy Biochem.","Postepy Biochemii"
"PostepyHigMedDosw","Postepy Hig. Med. Dosw.","Postepy Higieny Medycyny Doswiadczalnej"
"PostgradMedJ","Postgrad. Med. J.","Postgraduate Medical Journal"
"PostgradMed","Postgrad. Med.","Postgraduate Medicine"
"PotatoRes","Potato Res.","Potato Research"
"PoultSci","Poult. Sci.","Poultry Science"
"PractGynecol","Pract. Gynecol.","Practical Gynecology [Ginekologia Praktyczna]"
"Practitioner","Practitioner","Practitioner"
"PrairieForum","Prairie Forum","Prairie Forum"
"PrairieNat","Prairie Nat.","Prairie Naturalist"
"PraxKinderpsycholKinderpsychiatr","Prax. Kinderpsychol. Kinderpsychiatr.","Praxis der Kinderpyshologie und Kinderpsychiatrie"
"PraxKinderpsycholKinderpsychiatrBeih","Prax. Kinderpsychol. Kinderpsychiatr. Beih.","Praxis der Kinderpyshologie und Kinderpsychiatrie. Beiheft"
"PrenatDiagn","Prenat. Diagn.","Prenatal Diagnosis"
"PrepBiochem","Prep. Biochem.","Preparative Biochemistry"
"PresseMed","Presse. Med.","Presse Medicale"
"PrevVetMed","Prev. Vet. Med.","Preventative Veterinary Medicine"
"PrevMed","Prev. Med.","Preventive Medicine"
"PrimCare","Prim. Care","Primary Care; Clinics in Office Practice"
"ProblKhig","Probl. Khig.","Problemi na Khigienata"
"ProblEndokrinolMosk","Probl. Endokrinol.","Problemy Endokrinologii"
"ProblKosmBiol","Probl. Kosm. Biol.","Problemy Kosmicheskoi Biologii"
"ProblMedWiekuRozwoj","Probl. Med. Wieku Rozwoj.","Problemy Medycyny Wieku Rozwojowego"
"ProblTuberk","Probl. Tuberk.","Problemy Tuberkuleza"
"ProcExperApplEntomol","Proc. Exper. Appl. Entomol.","Proceedings Experimental and Applied Entomology"
"ProcAnnuConfResMedEduc","Proc. Annu. Conf. Res. Med. Educ.","Proceedings of the Annual Conference on Research in Medical Education"
"ProcAssocAmPhysicians","Proc. Assoc. Am. Physicians","Proceedings of the Association of American Physicians"
"ProcFinnDentSoc","Proc. Finn. Dent. Soc.","Proceedings of the Finnish Dental Society"
"ProcInstMechEngH","Proc. Inst. Mech. Eng. [H]","Proceedings of the Institution of Mechanical Engineers. Part H, Journal of Engineering in Medicine"
"ProcNatlAcadSciUSA","Proc. Natl. Acad. Sci. U.S.A.","Proceedings of the National Academy of Sciences of the United States of America"
"pnas","Proc. Natl. Acad. Sci. USA","Proceedings of the National Academy of Sciences of the United States of America"
"PNAS","PNAS","Proceedings of the National Academy of Sciences USA"
"PTE","PTE","Proceedings of the National Academy of Sciences USA"
"ProcNZGrasslandAssoc","Proc. N. Z. Grassland Assoc.","Proceedings of the New Zealand Grassland Association"
"ProcNutrSoc","Proc. Nutr. Soc.","Proceedings of the Nutrition Society"
"ProcREntSocLondA","Proc. R. Ent. Soc. Lond.","Proceedings of the Royal Entomological Society of London. Series A, General Entomology"
"ProcRMicroscopSoc","Proc. R. Microscop. Soc.","Proceedings of the Royal Microscopical Society"
"prsb","Proc. R. Soc. Lond. B","Proceedings of the Royal Society of London B Biological Sciences"
"ProcRSocLondBiol","Proc. R. Soc. Lond. [Biol]","Proceedings of the Royal Society of London. Series B: Biological Sciences"
"ProcRSocMed","Proc. R. Soc. Med.","Proceedings of the Royal Society of Medicine"
"ProcSocExpBiolMed","Proc. Soc. Exp. Biol. Med.","Proceedings of the Society for Experimental Biology and Medicine"
"ProcWestPharmacolSoc","Proc. West. Pharmacol. Soc.","Proceedings of the Western Pharmacology Society"
"ProcAnnuMeetMedSectAmCouncLifeInsur","Proc. Annu. Meet. Med. Sect. Am. Counc. Life Insur.","Proceedings, Annual Meeting of the Medical Section of the American Council of Life Insurance"
"ProcessBiochem","Process Biochem.","Process Biochemistry"
"DCProd","DC Prod.","Prodromus systematis naturalis regni vegetabilis"
"Prod","Prod.","Prodromus systematis naturalis regni vegetabilis"
"ProgAIDSOathol","Prog. AIDS Oathol.","Progress in AIDS Pathology"
"ProgBehavModif","Prog. Behav. Modif.","Progress in Behavior Modification"
"ProgBiochemPharmacol","Prog. Biochem. Pharmacol.","Progress in Biochemical Pharmacology"
"ProgBiophysMolBiol","Prog. Biophys. Mol. Biol.","Progress in Biophysics and Molecular Biology"
"ProgBrainRes","Prog. Brain Res.","Progress in Brain Research"
"ProgCardiovascDis","Prog. Cardiovasc. Dis.","Progress in Cardiovascular Diseases"
"ProgCellCycleRes","Prog. Cell. Cycle Res.","Progress in Cell Cycle Research"
"ProgClinBiolRes","Prog. Clin. Biol. Res.","Progress in Clinical and Biological Research"
"ProgClinParasitol","Prog. Clin. Parasitol.","Progress in Clinical Parasitology"
"ProgDrugRes","Prog. Drug Res.","Progress in Drug Research"
"ProgExpTumorRes","Prog. Exp. Tumor Res.","Progress in Experimental Tumor Research"
"ProgFoodNutrSci","Prog. Food Nutr. Sci.","Progress in Food and Nutrition Science"
"ProgGrowthFactorRes","Prog. Growth Factor Res.","Progress in Growth Factor Research"
"ProgHemostThromb","Prog. Hemost. Thromb.","Progress in Hemostasis and Thrombosis"
"ProgHistochemCytochem","Prog. Histochem. Cytochem.","Progress in Histochemistry and Cytochemistry"
"ProgHumReprodRes","Prog. Hum. Reprod. Res.","Progress in Human Reproduction Research"
"ProgLipidRes","Prog. Lipid Res.","Progress in Lipid Research"
"ProgMedGenet","Prog. Med. Genet.","Progress in Medical Genetics"
"ProgMedVirol","Prog. Med. Virol.","Progress in Medical Virology"
"ProgMedChem","Prog. Med. Chem.","Progress in Medicinal Chemistry"
"ProgMolSubcellBiol","Prog. Mol. Subcell. Biol.","Progress in Molecular and Subcellular Biology"
"ProgNeuropsychopharmacolBiolPsychiatry","Prog. Neuropsychopharmacol. Biol. Psychiatry","Progress in Neuro-Psychopharmacology and Biological Psychiatry"
"ProgNeurobiol","Prog. Neurobiol.","Progress in Neurobiology"
"ProgNeuropsychopharmacolBiolPsych","Prog. Neuropsychopharmacol. Biol. Psych.","Progress in Neuropsychopharmacology and Biological Psychiatry"
"ProgNucleicAcidResMolBiol","Prog. Nucleic Acid Res. Mol. Biol.","Progress in Nucleic Acid Research and Molecular Biology"
"ProgOcean","Prog. Oceanogr.","Progress in Oceanography"
"ProgPediatrSurg","Prog. Pediatr. Surg.","Progress in Pediatric Surgery"
"ProgReprodHealthRes","Prog. Reprod. Health. Res.","Progress in Reproductive Health Research"
"ProgRetinEyeRes","Prog. Retin. Eye Res.","Progress in Retina and Eye Research"
"ProgVetMicrobiolImmunol","Prog. Vet. Microbiol. Immunol.","Progress in Veterinary Microbiology and Immunology"
"Prostaglandins","Prostaglandins","Prostaglandins"
"ProstaglandinsOtherLipidMediat","Prostaglandins Other. Lipid Mediat.","Prostaglandins & Other Lipid Mediators"
"ProstaglandinsMed","Prostaglandins Med.","Prostaglandins and Medicine"
"ProstaglandinsLeukotEssentFattyAcids","Prostaglandins Leukot. Essent. Fatty Acids","Prostaglandins Leukotrienes and Essential Fatty Acids"
"ProstaglandinsLeukotMed","Prostaglandins Leukot. Med.","Prostaglandins, Leukotrienes, and Medicine"
"Prostate","Prostate","Prostate"
"ProstateSuppl","Prostate Suppl.","Prostate. Supplement"
"ProsthetOrthotInt","Prosthet. Orthot. Int.","Prosthetics and Orthotics International"
"ProteinEng","Protein Eng.","Protein Engineering"
"ProteinExpressPurif","Protein Express. Purif.","Protein Expression and Purification"
"ProtSci","Prot. Sci.","Protein Science"
"ProteinSeqDataAnal","Protein Seq. Data Anal.","Protein Sequences and Data Analysis"
"Proteins","Proteins","Proteins"
"Proteomics","Proteomics","Proteomics"
"PrzeglEpidemiol","Przegl. Epidemiol.","Przeglad Epidemiologiczny"
"PrzeglLek","Przegl. Lek.","Przeglad Lekarski"
"PrzewLekarza","Przew. Lekarza","Przewodnik Lekarza [General Practitioner]"
"Psicologia.com","Psicologia.com","Psicologia.com"
"Psiquiatria.com","Psiquiatria.com","Psiquiatria.com"
"Psyche","Psyche","Psyche"
"PsychiatrPol","Psychiatr. Pol.","Psychiatria Polska"
"PsychiatrClinNorthAm","Psychiatr. Clin. North Am.","Psychiatric Clinics of North America"
"PsychiatrJUnivOtt","Psychiatr. J. Univ. Ott.","Psychiatric Journal of the University of Ottawa"
"PsychiatrMed","Psychiatr. Med.","Psychiatric Medicine"
"PsychiatrQ","Psychiatr. Q.","Psychiatric Quarterly"
"PsychiatrServ","Psychiatr. Serv.","Psychiatric Services"
"PsychiatrEnfant","Psychiatr. Enfant","Psychiatrie de l Enfant"
"PsychitrPrax","Psychitr. Prax.","Psychiatrische Praxis"
"Psychiatry","Psychiatry","Psychiatry"
"PsychiatryClinNeurosci","Psychiatry Clin. Neurosci.","Psychiatry and Clinical Neurosciences"
"PsychiatryRes","Psychiatry Res.","Psychiatry Research"
"PsychoanalQ","Psychoanal. Q.","Psychoanalysis Quarterly"
"PsychoanalRev","Psychoanal. Rev.","Psychoanalysis Review"
"PsychoanalStudyChild","Psychoanal. Study Child","Psychoanalytical Study of the Child"
"PsycholBull","Psychol. Bull.","Psychological Bulletin"
"PsycholIssues","Psychol. Issues","Psychological Issues"
"PsycholMed","Psychol. Med.","Psychological Medicine"
"PsycholMedMonogrSuppl","Psychol. Med. Monogr. Suppl.","Psychological Medicine. Monograph Supplement"
"PsycholRep","Psychol. Rep.","Psychological Reports"
"PsycholRes","Psychol. Res.","Psychological Research"
"PsycholRev","Psychol. Rev.","Psychological Review"
"PsycholAging","Psychol. Aging","Psychology and Aging"
"Psychoneuroendocrinology","Psychoneuroendocrinology","Psychoneuroendocrinology"
"Psychopathology","Psychopathology","Psychopathology"
"Psychopharmacology","Psychopharmacology","Psychopharmacology"
"PsychopharmacolBull","Psychopharmacol. Bull.","Psychopharmacology Bulletin"
"PsychopharmacolSer","Psychopharmacol. Ser.","Psychopharmacology Series"
"Psychophysiology","Psychophysiology","Psychophysiology"
"PsychosomMed","Psychosom. Med.","Psychosomatic Medicine"
"Psychosomatics","Psychosomatics","Psychosomatics"
"PsychotherPsychosom","Psychother. Psychosom.","Psychotherapy and Psychosomatics"
"PsychotherPsychosomMedPsychol","Psychother. Psychosom. Med. Psychol.","Psychotherapy, Psychosomatik, Midizinische Psychologie"
"PubblStnZoolNapoliII","Pubbl. Stn. Zool. Napoli [II]","Pubblicazioni Della Stazione Zoologica di Napoli. Section II: History and Philosophy of the Life Sciences"
"PublicHealth","Public Health","Public Health"
"PublicHealthNurs","Public Health Nurs.","Public Health Nursing"
"PublicHealthPap","Public Health Pap.","Public Health Papers"
"PublicHealthRep","Public Health Rep.","Public Health Reports"
"PublicHealthRev","Public Health Rev.","Public Health Reviews"
"PRHealthSciJ","P. R. Health Sci. J.","Puerto Rico Health Sciences Journal"
"PulmonPharmacol","Pulmon. Pharmacol.","Pulmonary Pharmacology"
"PureApplChem","Pure Appl. Chem.","Pure and Applied Chemistry"
"QRBQualRevBull","QRB Qual. Rev. Bull.","QRB. Quality Review Bulletin"
"QuaestEntomol","Quaest. Entomol.","Quaestiones Entomologicae"
"QualHealthRes","Qual. Health Res.","Qualitative Health Research"
"QualAssurHealthCare","Qual. Assur. Health Care","Quality Assurance in Health Care"
"QuantRes","Quant. Res.","Quanternary Research"
"QJExpPsycholA","Q. J. Exp. Psychol. [A]","Quarterly Journal of Experimental Psychology"
"QJExpPsycholB","Q. J. Exp. Psychol. [B]","Quarterly Journal of Experimental Psychology. B, Comparatvie and Physiological P"
"QJMed","Q. J. Med.","Quarterly Journal of Medicine"
"QRevBiol","Q. Rev. Biol.","Quarterly Review of Biology"
"QRevBiophys","Q. Rev. Biophys.","Quarterly Review of Biophysics"
"QJRMeteolSoc","Q. J. R. Meteorol. Soc.","Quartly Journal of Royal Meteorological Society"
"QuatSciRev","Quat. Sci. Rev.","Quatenary Science Reviews"
"RadiatEnvironBiophys","Radiat. Environ. Biophys.","Radiation and Environmental Biophysics"
"RadiatMed","Radiat. Med.","Radiation Medicine"
"RadiatOncolInvest","Radiat. Oncol. Invest.","Radiation Oncology Investigations"
"RadiatRes","Radiat. Res.","Radiation Research"
"Radiobiologiia","Radiobiologiia","Radiobiologiia"
"Radiographics","Radiographics","Radiographics"
"Radiologe","Radiologe","Radiologe"
"RadiolMedTorino","Radiol. Med.","Radiologia Medica"
"RadiolClinNorthAm","Radiol. Clin. North Am.","Radiologic Clinics of North America"
"RadiolTechnol","Radiol. Technol.","Radiologic Technology"
"RadiotherOncol","Radiother. Oncol.","Radiotherapy and Oncology"
"RaffBullZool","Raff. Bull. Zool.","Raffles Bulletin of Zoology"
"Rangelands","Rangelands","Rangelands"
"RangeEcolManage","Rangelands Ecol. Manage.","Rangelands Ecology and Management"
"RapidCommunMassSpectrom","Rapid Commun. Mass Spectrom.","Rapid Communications in Mass Spectrometry"
"Rays","Rays","Rays"
"RecentDevAlcohol","Recent Dev. Alcohol.","Recent Developments in Alcoholism"
"RecentProgHormRes","Recent Prog. Horm. Res.","Recent Progress in Hormone Research"
"RecentResultsCancerRes","Recent Results Cancer Res.","Recent Results in Cancer Research"
"RecentiProgMed","Recenti Prog. Med.","Recenti Progressi in Medicina"
"ReconstrSurgTraumatol","Reconstr. Surg. Traumatol.","Reconstruction Surgery and Traumatology"
"RedoxRep","Redox Rep.","Redox Report"
"RefractCornealSurg","Refract. Corneal Surg.","Refractive and Corneal Surgery"
"RegAnaesth","Reg. Anaesth.","Regional Anaesthesie"
"RegAnesth","Reg. Anesth.","Regional Anesthesia"
"RegEnvironChangeJ","Reg. Environ. Change J.","Regional Environmental Change Journal"
"RegImmunol","Reg. Immunol.","Regional Immunology"
"RegulPept","Regul. Pept.","Regulatory Peptides"
"RTP","RTP","Regulatory Toxicology and Pharmacology"
"RegulToxicolPharmacol","Regul. Toxicol. Pharmacol.","Regulatory Toxicology and Pharmacology"
"RehabilitationStuttg","Rehabilitation","Rehabilitation"
"RemoteSensEnviron","Remote Sens. Environ.","Remote Sensing of the Environment"
"RemoteSensRev","Remote Sens. Rev.","Remote Sensing Reviews"
"RenFail","Ren. Fail.","Renal Failure"
"RenalPhysiolBiochem","Renal. Physiol. Biochem.","Renal Physiology and Biochemistry"
"RepGroupAdvPsychiatry","Rep. Group Adv. Psychiatry","Report/ Group for the Advancement of Psychiatry"
"riwcsi","Rep. Int. Whaling Comm. Spec. Issue","Reports of the International Whaling Commission Special Issue"
"RepHealthSocSubjLond","Rep. Health Soc. Subj.","Reports on Health and Social Subjects"
"ReprodDomesticAnim","Reprod. Domestic Anim.","Reproduction in Domestic Animals"
"ReprodFertilDev","Reprod. Fertil. Dev.","Reproduction, Fertility, and Development"
"ReprodNutrDev","Reprod. Nutr. Dev.","Reproduction, Nutrition, Development"
"ReprodToxicol","Reprod. Toxicol.","Reproductive Toxicology"
"ResCommunChemPatholPharmacol","Res. Commun. Chem. Pathol. Pharmacol.","Research Communications in Chemical Pathology and Pharmacology"
"ResComplementClassicalMed","Res. Complement. Classical Med.","Research in Complementary and Classical Natural Medicine"
"ResDevDisabil","Res. Dev. Disabil.","Research in Developmental Disabilities"
"ResExpMedBerl","Res. Exp. Med.","Research in Experimental Medicine"
"ResImmunol","Res. Immunol.","Research in Immunology"
"ResMicrobiol","Res. Microbiol.","Research in Microbiology"
"ResNursHealth","Res. Nurs. Health","Research in Nursing and Health"
"ResVetSci","Res. Vet. Sci.","Research in Veterinary Science"
"ResVirol","Res. Virol.","Research in Virology"
"ResLettEcol","Res. Lett. Ecol.","Research Letters in Ecology"
"ResPublAssocResNervMentDis","Res. Publ. Assoc. Res. Nerv. Ment. Dis.","Research Publications - Association for Research in Nervous and Mental Disease"
"ResQExercSport","Res. Q. Exerc. Sport","Research Quarterly for Exercise and Sport"
"ResRepHealthEffInst","Res. Rep. Health Eff. Inst.","Research Report/ Health Effects Institute"
"ResSynthMeth","Res. Synth. Meth.","Research Synthesis Methods"
"rpe","Res. Popul. Ecol.","Researches on Population Ecology"
"ResPopEcol","Res. Pop. Ecol.","Researches on Population Ecology"
"ResourConservRecy","Resour. Conserv. Recy.","Resources, Conservation And Recycling"
"Respiration","Respiration","Respiration"
"RespirPhysiol","Respir. Physiol.","Respiration Physiology"
"RespirPhysiolNeurobiol","Respir. Physiol. Neurobiol.","Respiration Physiology & Neurobiology"
"RespirMed","Respir. Med.","Respiratory Medicine"
"RespirRes","Respir. Res.","Respiratory Research"
"Respirology","Respirology","Respirology"
"RestorationEcol","Restoration Ecol.","Restoration Ecology"
"RestorNeurolNeurosci","Restor. Neurol. Neurosci.","Restorative Neurology and Neurosciences"
"ResultsProblCellDiffer","Results Probl. Cell Differ.","Results and Problems in Cell Differentiation"
"Resuscitation","Resuscitation","Resuscitation"
"Retina","Retina","Retina"
"Reumatizam","Reumatizam","Reumatizam"
"RevAgricEcon","Rev. Agric. Econ.","Review of Agricultural Economics"
"RevRoumBiolAnim","Rev. Roum. Biol. Anim.","Review Roumain de Biologie Animals"
"rfbf","Rev.  Fish Biol. Fisheries","Reviews in Fish Biology and Fisheries"
"rfs","Rev. Fish. Sci.","Reviews in Fisheries Science"
"RevImmunogenet","Rev. Immunogenet.","Reviews in Immunogenetics"
"RevMedVirol","Rev. Med. Virol.","Reviews in Medical Virology"
"RevPureApplPharmacolSci","Rev. Pure Appl. Pharmacol. Sci.","Reviews In Pure & Applied Pharmacological Sciences"
"RevNeurosci","Rev. Neurosci.","Reviews in the Neurosciences"
"RevToxicol","Rev. Toxicol.","Reviews in Toxicology"
